217:        27 steps          9444 total steps
218:        115 steps          9559 total steps
219:        53 steps          9612 total steps
220:        115 steps          9727 total steps
221:        115 steps          9842 total steps
222:        71 steps          9913 total steps
223:        71 steps          9984 total steps
224:        22 steps          10006 total steps
225:        53 steps          10059 total steps
226:        14 steps          10073 total steps
227:        14 steps          10087 total steps
228:        35 steps          10122 total steps
229:        35 steps          10157 total steps
230:        35 steps          10192 total steps
231:        128 steps          10320 total steps
232:        22 steps          10342 total steps
233:        84 steps          10426 total steps
234:        22 steps          10448 total steps
235:        128 steps          10576 total steps
236:        35 steps          10611 total steps
237:        35 steps          10646 total steps
238:        35 steps          10681 total steps
239:        53 steps          10734 total steps
240:        22 steps          10756 total steps
241:        22 steps          10778 total steps
242:        97 steps          10875 total steps
243:        97 steps          10972 total steps
244:        22 steps          10994 total steps
245:        22 steps          11016 total steps
246:        48 steps          11064 total steps
247:        48 steps          11112 total steps
248:        110 steps          11222 total steps
249:        48 steps          11270 total steps
250:        110 steps          11380 total steps
251:        66 steps          11446 total steps
252:        110 steps          11556 total steps
253:        110 steps          11666 total steps
254:        48 steps          11714 total steps
255:        48 steps          11762 total steps
256:        9 steps          11771 total steps
257:        123 steps          11894 total steps
258:        123 steps          12017 total steps
259:        123 steps          12140 total steps
260:        30 steps          12170 total steps
261:        30 steps          12200 total steps
262:        30 steps          12230 total steps
263:        79 steps          12309 total steps
264:        30 steps          12339 total steps
265:        123 steps          12462 total steps
266:        30 steps          12492 total steps
267:        22 steps          12514 total steps
268:        30 steps          12544 total steps
269:        30 steps          12574 total steps
270:        43 steps          12617 total steps
271:        43 steps          12660 total steps
272:        17 steps          12677 total steps
273:        30 steps          12707 total steps
274:        92 steps          12799 total steps
275:        92 steps          12891 total steps
276:        17 steps          12908 total steps
277:        17 steps          12925 total steps
278:        43 steps          12968 total steps
279:        43 steps          13011 total steps
280:        17 steps          13028 total steps
281:        43 steps          13071 total steps
282:        17 steps          13088 total steps
283:        61 steps          13149 total steps
284:        105 steps          13254 total steps
285:        105 steps          13359 total steps
286:        105 steps          13464 total steps
287:        43 steps          13507 total steps
288:        25 steps          13532 total steps
289:        30 steps          13562 total steps
290:        118 steps          13680 total steps
291:        118 steps          13798 total steps
292:        118 steps          13916 total steps
293:        118 steps          14034 total steps
294:        118 steps          14152 total steps
295:        56 steps          14208 total steps
296:        25 steps          14233 total steps
297:        74 steps          14307 total steps
298:        25 steps          14332 total steps
299:        118 steps          14450 total steps
300:        17 steps          14467 total steps
301:        17 steps          14484 total steps
302:        17 steps          14501 total steps
303:        43 steps          14544 total steps
304:        25 steps          14569 total steps
305:        38 steps          14607 total steps
306:        38 steps          14645 total steps
307:        38 steps          14683 total steps
308:        25 steps          14708 total steps
309:        25 steps          14733 total steps
310:        87 steps          14820 total steps
311:        87 steps          14907 total steps
312:        38 steps          14945 total steps
313:        131 steps          15076 total steps
314:        38 steps          15114 total steps
315:        38 steps          15152 total steps
316:        38 steps          15190 total steps
317:        38 steps          15228 total steps
318:        56 steps          15284 total steps
319:        56 steps          15340 total steps
320:        12 steps          15352 total steps
321:        25 steps          15377 total steps
322:        100 steps          15477 total steps
323:        100 steps          15577 total steps
324:        25 steps          15602 total steps
325:        25 steps          15627 total steps
326:        25 steps          15652 total steps
327:        144 steps          15796 total steps
328:        113 steps          15909 total steps
329:        51 steps          15960 total steps
330:        113 steps          16073 total steps
331:        25 steps          16098 total steps
332:        113 steps          16211 total steps
333:        113 steps          16324 total steps
334:        69 steps          16393 total steps
335:        69 steps          16462 total steps
336:        12 steps          16474 total steps
337:        113 steps          16587 total steps
338:        51 steps          16638 total steps
339:        51 steps          16689 total steps
340:        12 steps          16701 total steps
341:        12 steps          16713 total steps
342:        126 steps          16839 total steps
343:        126 steps          16965 total steps
344:        33 steps          16998 total steps
345:        126 steps          17124 total steps
346:        33 steps          17157 total steps
347:        126 steps          17283 total steps
348:        33 steps          17316 total steps
349:        33 steps          17349 total steps
350:        82 steps          17431 total steps
351:        82 steps          17513 total steps
352:        20 steps          17533 total steps
353:        126 steps          17659 total steps
354:        33 steps          17692 total steps
355:        33 steps          17725 total steps
356:        33 steps          17758 total steps
357:        33 steps          17791 total steps
358:        33 steps          17824 total steps
359:        51 steps          17875 total steps
360:        20 steps          17895 total steps
361:        46 steps          17941 total steps
362:        20 steps          17961 total steps
363:        46 steps          18007 total steps
364:        95 steps          18102 total steps
365:        95 steps          18197 total steps
366:        95 steps          18292 total steps
367:        46 steps          18338 total steps
368:        20 steps          18358 total steps
369:        20 steps          18378 total steps
370:        46 steps          18424 total steps
371:        46 steps          18470 total steps
372:        20 steps          18490 total steps
373:        20 steps          18510 total steps
374:        46 steps          18556 total steps
375:        46 steps          18602 total steps
376:        108 steps          18710 total steps
377:        64 steps          18774 total steps
378:        108 steps          18882 total steps
379:        59 steps          18941 total steps
380:        108 steps          19049 total steps
381:        108 steps          19157 total steps
382:        46 steps          19203 total steps
383:        46 steps          19249 total steps
384:        15 steps          19264 total steps
385:        33 steps          19297 total steps
386:        121 steps          19418 total steps
387:        121 steps          19539 total steps
388:        121 steps          19660 total steps
389:        121 steps          19781 total steps
390:        121 steps          19902 total steps
391:        121 steps          20023 total steps
392:        28 steps          20051 total steps
393:        59 steps          20110 total steps
394:        28 steps          20138 total steps
395:        77 steps          20215 total steps
396:        28 steps          20243 total steps
397:        28 steps          20271 total steps
398:        121 steps          20392 total steps
399:        121 steps          20513 total steps
400:        28 steps          20541 total steps
401:        20 steps          20561 total steps
402:        20 steps          20581 total steps
