1	60
2	84
3	120
4	132
5	156
6	168
7	204
8	228
9	240
10	264
11	276
12	280
13	300
14	312
15	315
16	336
17	348
18	372
19	408
20	420
21	440
22	444
23	456
24	480
25	492
26	495
27	516
28	520
29	528
30	552
31	560
32	564
33	585
34	588
35	600
36	616
37	624
38	630
39	636
40	660
41	672
42	680
43	693
44	696
45	708
46	728
47	732
48	744
49	760
50	765
51	780
52	804
53	816
54	819
55	840
56	852
57	855
58	876
59	880
60	888
61	912
62	920
63	924
64	945
65	948
66	952
67	960
68	984
69	990
70	996
71	1020
72	1032
73	1035
74	1040
75	1056
76	1064
77	1068
78	1071
79	1092
80	1104
81	1120
82	1128
83	1140
84	1160
85	1164
86	1170
87	1176
88	1197
89	1200
90	1212
91	1232
92	1236
93	1240
94	1248
95	1260
96	1272
97	1284
98	1288
99	1305
100	1308
101	1320
102	1344
103	1356
104	1360
105	1380
106	1386
107	1392
108	1395
109	1416
110	1428
111	1449
112	1452
113	1456
114	1464
115	1480
116	1485
117	1488
118	1500
119	1520
120	1524
121	1530
122	1560
123	1572
124	1584
125	1596
126	1608
127	1624
128	1632
129	1638
130	1640
131	1644
132	1665
133	1668
134	1680
135	1704
136	1710
137	1716
138	1720
139	1736
140	1740
141	1752
142	1755
143	1760
144	1776
145	1788
146	1812
147	1824
148	1827
149	1840
150	1845
151	1848
152	1860
153	1872
154	1880
155	1884
156	1890
157	1896
158	1904
159	1920
160	1925
161	1932
162	1935
163	1953
164	1956
165	1960
166	1968
167	1980
168	1992
169	2004
170	2028
171	2040
172	2064
173	2070
174	2072
175	2076
176	2079
177	2080
178	2100
179	2112
180	2115
181	2120
182	2128
183	2136
184	2142
185	2148
186	2172
187	2184
188	2205
189	2208
190	2220
191	2240
192	2244
193	2256
194	2275
195	2280
196	2288
197	2292
198	2295
199	2296
200	2316
201	2320
202	2328
203	2331
204	2340
205	2352
206	2360
207	2364
208	2385
209	2388
210	2394
211	2400
212	2408
213	2424
214	2436
215	2440
216	2448
217	2457
